Address,Price,Parcel,Date
221 N Bassett St,310000,70923114171,2002-06-01
310 S Bassett St,220100,70923402021,2008-04-01
16 S Broom St,310000,70923122041,2017-04-01
16 S Broom St,292500,70923122041,2004-08-01
116 N Broom St,135000,70923113024,2002-01-01
207 S Broom St,237500,70923127231,2006-09-01
207 S Broom St,182000,70923127231,2002-05-01
306 S Broom St,295000,70923130060,2004-12-01
531 W Dayton St,350000,70923124146,2008-10-01
535 W Dayton St,386900,70923124162,2006-11-01
307 W Doty St,157500,70923127075,2004-01-01
323 W Doty St,211200,70923127124,2011-10-01
401 W Doty St,190000,70923131026,2005-04-01
403 W Doty St,239500,70923131034,2009-04-01
403 W Doty St,180000,70923131034,2005-06-01
404 W Doty St,265000,70923126374,2008-06-01
411 W Doty St,254900,70923131068,2012-06-01
447 W Doty St,220000,70923131175,2005-08-01
512 W Doty St,270000,70923132347,2017-02-01
517 W Doty St,192500,70923133064,2015-05-01
537 W Doty St,470000,70923133121,2017-04-01
554 W Doty St,455700,70923132206,2006-05-01
204 S Henry St,210000,70923127059,2004-04-01
212 S Henry St,279900,70923127033,2015-01-01
212 S Henry St,260000,70923127033,2004-12-01
405 W Main St,394000,70923126069,2015-03-01
405 W Main St,307500,70923126069,2010-06-01
503 W Main St,380000,70923132066,2010-12-01
503 W Main St,285000,70923132066,2007-06-01
507 W Main St,325000,70923132074,2008-01-01
532 W Mifflin St,512900,70923124336,2017-10-01
539 W Mifflin St,330000,70923123198,2015-01-01
539 W Mifflin St,290000,70923123198,2010-04-01
451 W Washington Ave,310000,70923122174,2005-09-01
511 W Washington Ave,535300,70923125087,2004-07-01
322 W Wilson St,256000,70923127364,2004-03-01
323 W Wilson St,370000,70923128031,2017-05-01
324 W Wilson St,280000,70923127356,2004-01-01
430 W Wilson St,340000,70923131282,2014-09-01
430 W Wilson St,392500,70923131282,2004-12-01
538 W Wilson St,375000,70923133270,2014-08-01
538 W Wilson St,219000,70923133270,2011-11-01
543 W Wilson St,200000,70923402146,2012-02-01
106 N Blair St,240000,70913314020,2014-07-01
106 N Blair St,191500,70913314020,2006-08-01
214 N Blair St,227600,70913314103,2005-12-01
14 S Franklin St,208800,70913319137,2010-08-01
19 S Franklin St,183500,70913316026,2002-10-01
26 N Franklin St,245000,70913320150,2008-01-01
107 N Franklin St,265000,70913314294,2007-10-01
107 N Franklin St,265000,70913314294,2003-08-01
111 S Franklin St,215000,70913317074,2005-07-01
124 N Franklin St,335000,70913321265,2012-06-01
124 N Franklin St,260000,70913321265,2008-01-01
124 N Franklin St,245000,70913321265,2002-01-01
128 N Franklin St,219000,70913321281,2008-05-01
217 N Hamilton St,270000,70913332080,2013-05-01
217 N Hamilton St,203000,70913332080,2006-02-01
30 N Hancock St,275900,70913324160,2008-12-01
112 N Hancock St,242500,70913323237,2007-03-01
125 N Hancock St,345000,70913321124,2004-08-01
138 N Hancock St,340000,70913323328,2003-02-01
139 S Hancock St,145000,70913318139,2007-08-01
142 N Hancock St,345000,70913323336,2003-02-01
305 E Johnson St,270000,70913323401,2015-02-01
319 E Johnson St,266000,70913323360,2004-12-01
512 E Johnson St,290000,70913313121,2005-10-01
514 E Johnson St,238000,70913313139,2010-06-01
